species	Passo Fundo	Irati	Sao Francisco de Paula	Urugua-i	Gateados	Tres Barras	Pizzatto
Sirystes sibilator	1	1	1	1	1	1	1
Sittasomus griseicapillus	1	1	1	1	1	1	1
Spatula platalea	0	0	0	0	0	0	0
Spatula versicolor	1	1	1	1	1	1	1
Spinus magellanicus	1	1	1	1	1	1	1
Spizaetus melanoleucus	0	1	1	1	1	1	1
Spizaetus ornatus	1	1	1	1	1	1	1
Spizaetus tyrannus	1	1	1	1	1	1	1
Sporophila angolensis	1	1	1	1	1	1	1
Sporophila beltoni	0	1	0	0	1	1	0
Sporophila bouvreuil	0	0	0	0	0	0	0
Sporophila caerulescens	1	1	1	1	1	1	1
Sporophila cinnamomea	0	0	0	1	0	0	0
Sporophila collaris	0	0	1	0	0	0	0
Sporophila falcirostris	0	0	0	0	0	0	0
Sporophila frontalis	0	0	0	0	0	0	0
Sporophila hypochroma	0	0	0	0	0	0	0
Sporophila hypoxantha	1	1	1	1	1	1	1
Sporophila leucoptera	0	0	0	1	0	0	0
Sporophila lineola	0	1	0	0	0	0	0
Sporophila melanogaster	0	1	1	0	1	1	1
Sporophila nigricollis	0	1	0	1	0	1	0
Sporophila pileata	1	1	0	1	0	1	1
Sporophila plumbea	1	1	0	1	1	1	1
Sporophila ruficollis	0	1	0	1	0	0	0
Stelgidopteryx ruficollis	1	1	1	1	1	1	1
Stephanophorus diadematus	1	1	1	1	1	1	1
Stephanoxis loddigesii	1	1	1	1	1	1	1
Sterna hirundinacea	0	0	0	0	0	0	0
Sterna hirundo	0	0	1	0	0	0	0
Sterna trudeaui	0	0	0	0	0	0	0
Sternula superciliaris	1	1	1	1	1	1	1
Streptoprocne biscutata	1	1	1	1	1	1	1
Streptoprocne zonaris	0	1	1	1	1	1	1
Strix hylophila	1	1	1	1	1	1	1
Sublegatus modestus	0	1	0	0	0	0	0
Suiriri suiriri	0	0	0	1	0	0	0
Synallaxis albescens	0	1	0	1	0	1	0
Synallaxis cinerascens	1	1	1	1	1	1	1
Synallaxis ruficapilla	1	1	1	1	1	1	1
Synallaxis spixi	1	1	1	1	1	1	1
Syndactyla dimidiata	0	0	0	0	0	0	0
Syndactyla rufosuperciliata	1	1	1	1	1	1	1
Syrigma sibilatrix	1	1	1	1	1	1	1
Systellura longirostris	0	0	1	0	1	1	0
Tachuris rubrigastra	1	1	1	1	1	1	1
Tachybaptus dominicus	1	1	1	1	1	1	1
Tachycineta albiventer	1	1	0	1	0	0	1
Tachycineta leucorrhoa	1	1	1	1	1	1	1
Tachyphonus coronatus	1	1	1	1	1	1	1
Tangara cyanocephala	0	1	1	1	1	1	1
Tangara cyanoptera	0	0	1	0	0	0	0
Tangara desmaresti	0	0	0	0	0	0	0
Tangara flava	0	0	0	1	0	0	0
Tangara ornata	0	0	0	0	0	0	0
Tangara palmarum	1	1	1	0	1	1	1
Tangara peruviana	0	0	0	0	0	0	0
Tangara preciosa	1	1	1	1	1	1	1
Tangara sayaca	1	1	1	1	1	1	1
Tangara seledon	0	1	1	1	0	1	1
Tapera naevia	1	1	1	1	1	1	1
Terenura maculata	0	1	0	1	0	1	1
Tersina viridis	1	1	0	1	1	1	1
Thalasseus maximus	0	0	0	0	0	0	0
Thalasseus sandvicensis	0	0	1	0	0	0	0
Thalurania furcata	0	0	0	1	0	0	0
Thalurania glaucopis	1	1	1	1	1	1	1
Thamnophilus caerulescens	1	1	1	1	1	1	1
Thamnophilus doliatus	0	0	0	1	0	0	0
Thamnophilus ruficapillus	1	1	1	1	1	1	1
Theristicus caerulescens	1	0	0	1	0	0	0
Theristicus caudatus	1	1	1	1	1	1	1
Thlypopsis pyrrhocoma	1	1	1	1	1	1	1
Thlypopsis sordida	0	0	0	1	0	0	0
Tigrisoma fasciatum	1	1	1	1	1	1	1
Tigrisoma lineatum	1	1	1	1	1	1	1
Tinamus solitarius	0	1	1	1	1	1	1
Tityra braziliensis	1	1	1	1	1	1	1
Tityra inquisitor	1	1	1	1	1	1	1
Tityra semifasciata	0	0	0	0	0	0	0
Todirostrum cinereum	0	1	0	1	0	1	0
Todirostrum poliocephalum	0	0	0	0	0	0	0
Tolmomyias sulphurescens	1	1	1	1	1	1	1
Touit melanonotus	0	0	0	0	0	0	0
Touit surdus	0	0	0	0	0	0	0
Trichothraupis melanops	1	1	1	1	1	1	1
Triclaria malachitacea	0	0	1	0	0	0	0
Tringa flavipes	1	1	1	1	1	1	1
Tringa melanoleuca	1	1	1	1	1	1	1
Tringa semipalmata	0	0	1	0	0	0	0
Tringa solitaria	1	1	1	1	1	1	1
Troglodytes aedon	1	1	1	1	1	1	1
Trogon rufus	1	1	1	1	1	1	1
Trogon surrucura	1	1	1	1	1	1	1
Trogon viridis	0	0	0	0	0	0	0
Turdus albicollis	1	1	1	1	1	1	1
Turdus amaurochalinus	1	1	1	1	1	1	1
Turdus flavipes	1	1	1	1	1	1	1
Turdus leucomelas	0	1	0	1	0	1	1
Turdus rufiventris	1	1	1	1	1	1	1
Turdus subalaris	1	1	1	1	1	1	1
Tyrannus melancholicus	1	1	1	1	1	1	1
Tyrannus savana	1	1	1	1	1	1	1
Tyrannus tyrannus	0	0	0	1	0	0	0
Tyto alba	1	1	1	1	1	1	1
Vanellus chilensis	1	1	1	1	1	1	1
Veniliornis passerinus	0	0	0	0	0	0	0
Veniliornis spilogaster	1	1	1	1	1	1	1
Vireo chivi	1	1	1	1	1	1	1
Vireo olivaceus	1	1	1	1	1	1	1
Volatinia jacarina	1	1	0	1	1	1	1
Xanthopsar flavus	0	0	1	0	1	0	0
Xenops minutus	0	1	0	1	0	1	1
Xenops rutilus	1	1	1	1	1	1	1
Xiphocolaptes albicollis	1	1	1	1	1	1	1
Xiphorhynchus fuscus	0	1	1	1	1	1	1
Xolmis cinereus	1	1	1	1	1	1	1
Xolmis dominicanus	1	0	1	0	0	0	1
Xolmis irupero	0	0	1	1	0	0	0
Xolmis velatus	0	0	0	0	0	0	0
Zenaida auriculata	1	1	1	1	1	1	1
Zonotrichia capensis	1	1	1	1	1	1	1
